axis;index;value
vertical_x;348;1
vertical_x;349;0
vertical_x;350;2
vertical_x;351;2
vertical_x;352;2
vertical_x;353;4
vertical_x;354;25
vertical_x;355;25
vertical_x;356;25
vertical_x;357;10
vertical_x;358;3
vertical_x;359;3
vertical_x;360;3
vertical_x;361;1
vertical_x;362;1
vertical_x;363;1
vertical_x;364;1
vertical_x;365;3
vertical_x;366;3
vertical_x;367;3
vertical_x;368;8
vertical_x;369;25
vertical_x;370;25
vertical_x;371;25
vertical_x;372;4
vertical_x;373;2
vertical_x;374;2
vertical_x;375;2
vertical_x;376;0
vertical_x;377;2
vertical_x;378;2
vertical_x;379;2
vertical_x;380;4
vertical_x;381;25
vertical_x;382;25
vertical_x;383;25
vertical_x;384;25
vertical_x;385;3
vertical_x;386;2
vertical_x;387;2
vertical_x;388;1
vertical_x;389;1
vertical_x;390;1
vertical_x;391;1
vertical_x;392;2
vertical_x;393;2
vertical_x;394;2
vertical_x;395;5
vertical_x;396;25
vertical_x;397;26
vertical_x;398;26
vertical_x;399;8
vertical_x;400;5
vertical_x;401;7
vertical_x;402;9
vertical_x;403;0
vertical_x;404;1
vertical_x;405;2
vertical_x;406;2
vertical_x;407;4
vertical_x;408;5
vertical_x;409;9
vertical_x;410;13
vertical_x;411;12
vertical_x;412;11
vertical_x;413;11
vertical_x;414;9
vertical_x;415;10
vertical_x;416;10
vertical_x;417;7
vertical_x;418;5
vertical_x;419;5
vertical_x;420;4
vertical_x;421;5
vertical_x;422;6
vertical_x;423;7
vertical_x;424;6
vertical_x;425;4
vertical_x;426;2
vertical_x;427;2
vertical_x;428;1
vertical_x;429;0
vertical_x;430;0
vertical_x;431;2
vertical_x;432;9
vertical_x;433;4
vertical_x;434;4
vertical_x;435;3
vertical_x;436;5
vertical_x;437;5
vertical_x;438;6
vertical_x;439;7
vertical_x;440;8
vertical_x;441;11
vertical_x;442;15
vertical_x;443;22
vertical_x;444;18
vertical_x;445;14
vertical_x;446;8
vertical_x;447;0
vertical_x;448;0
vertical_x;449;0
vertical_x;450;0
vertical_x;451;0
vertical_x;452;0
vertical_x;453;0
vertical_x;454;0
vertical_x;455;0
vertical_x;456;0
vertical_x;457;0
vertical_x;458;0
vertical_x;459;7
vertical_x;460;11
vertical_x;461;15
vertical_x;462;17
vertical_x;463;19
vertical_x;464;8
vertical_x;465;7
vertical_x;466;4
vertical_x;467;3
vertical_x;468;4
vertical_x;469;4
vertical_x;470;2
vertical_x;471;2
vertical_x;472;2
vertical_x;473;4
vertical_x;474;4
vertical_x;475;4
vertical_x;476;5
vertical_x;477;6
vertical_x;478;11
vertical_x;479;19
vertical_x;480;17
vertical_x;481;13
vertical_x;482;9
vertical_x;483;0
vertical_x;484;0
vertical_x;485;2
vertical_x;486;2
vertical_x;487;2
vertical_x;488;4
vertical_x;489;25
vertical_x;490;25
vertical_x;491;25
vertical_x;492;25
vertical_x;493;6
vertical_x;494;4
vertical_x;495;4
vertical_x;496;3
vertical_x;497;4
vertical_x;498;6
vertical_x;499;7
vertical_x;500;12
vertical_x;501;11
vertical_x;502;9
vertical_x;503;7
vertical_x;504;0
vertical_x;505;0
vertical_x;506;1
vertical_x;507;1
vertical_x;508;2
vertical_x;509;4
vertical_x;510;6
vertical_x;511;6
vertical_x;512;5
vertical_x;513;5
vertical_x;514;5
vertical_x;515;5
vertical_x;516;5
vertical_x;517;5
vertical_x;518;8
vertical_x;519;10
vertical_x;520;9
vertical_x;521;10
vertical_x;522;10
vertical_x;523;9
vertical_x;524;11
vertical_x;525;11
vertical_x;526;8
vertical_x;527;6
vertical_x;528;4
vertical_x;529;2
vertical_x;530;1
vertical_x;531;1
vertical_x;532;0
vertical_x;533;2
vertical_x;534;2
vertical_x;535;2
vertical_x;536;4
vertical_x;537;25
vertical_x;538;25
vertical_x;539;8
vertical_x;540;10
vertical_x;541;10
vertical_x;542;8
vertical_x;543;8
vertical_x;544;9
vertical_x;545;9
vertical_x;546;9
vertical_x;547;8
vertical_x;548;7
vertical_x;549;4
vertical_x;550;5
vertical_x;551;4
vertical_x;552;4
vertical_x;553;4
vertical_x;554;5
vertical_x;555;6
vertical_x;556;5
vertical_x;557;6
vertical_x;558;25
vertical_x;559;25
vertical_x;560;25
vertical_x;561;25
vertical_x;562;2
vertical_x;563;2
vertical_x;564;2
vertical_x;565;0
vertical_x;566;8
vertical_x;567;7
vertical_x;568;6
vertical_x;569;4
vertical_x;570;6
vertical_x;571;7
vertical_x;572;7
vertical_x;573;10
vertical_x;574;18
vertical_x;575;13
vertical_x;576;3
vertical_x;577;2
vertical_x;578;2
vertical_x;579;2
vertical_x;580;2
